name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
JBM Group,Auto Components,3.9,4700.0,1390000.0,345.0,58.0,342.0,21.0,Gurgaon / Gurugram,117
Nagarro,IT Services & Consulting,3.9,4700.0,3240000.0,829.0,927.0,1100.0,19.0,Gurgaon / Gurugram,49
Varun Beverages,Beverage,4.0,4700.0,1180000.0,344.0,34.0,321.0,31.0,New Delhi,379
ITC Infotech,IT Services & Consulting,3.7,4700.0,2950000.0,411.0,70.0,281.0,11.0,Bangalore / Bengaluru,67
Bosch,Auto Components,4.1,4600.0,2070000.0,375.0,0.0,599.0,18.0,Bangalore / Bengaluru,131
Home Credit Finance,NBFC,4.0,4600.0,940000.0,146.0,91.0,629.0,6.0,Gurgaon / Gurugram,136
Randstad,Recruitment,3.7,4600.0,1639999.9999999998,326.0,8.0,342.0,7.0,Hyderabad / Secunderabad,352
EY Global Delivery Services ( EY GDS),IT Services & Consulting,3.5,4500.0,4880000.0,878.0,12.0,146.0,16.0,Bangalore / Bengaluru,56
Hewlett Packard Enterprise,IT Services & Consulting,4.1,4500.0,2700000.0,266.0,233.0,546.0,18.0,Bangalore / Bengaluru,104
Utkarsh Small Finance Bank,Banking,3.6,4500.0,1080000.0,298.0,24.0,270.0,50.0,Varanasi,408
Mahindra Logistics,Logistics,3.7,4500.0,1290000.0,251.0,0.0,445.0,24.0,Mumbai,233
Aditya Birla Fashion and Retail,Fashion & Textile,4.1,4500.0,1310000.0,264.0,77.0,391.0,14.0,Bangalore / Bengaluru,291
L&T Finance,NBFC,3.9,4500.0,1170000.0,216.0,0.0,261.0,34.0,Mumbai,634
Dell,Consumer Electronics & Appliances,3.8,4500.0,2870000.0,423.0,17.0,540.0,25.0,Bangalore / Bengaluru,117
CARS24,Internet,3.4,4500.0,1540000.0,404.0,111.0,410.0,17.0,Gurgaon / Gurugram,172
Havells,Electrical Equipment,3.9,4500.0,1560000.0,286.0,34.0,315.0,9.0,Noida,261
OPPO,Consumer Electronics & Appliances,3.9,4500.0,1180000.0,248.0,7.0,602.0,10.0,Greater Noida,410
Intas Pharmaceuticals,Pharma,4.1,4400.0,1739999.9999999998,259.0,61.0,362.0,9.0,Ahmedabad,148
R1 RCM,BPO,3.8,4400.0,2130000.0,356.0,164.0,334.0,23.0,New Delhi,46
Hyundai Motor India Limited,Automobile,4.1,4400.0,1390000.0,321.0,5.0,518.0,31.0,Chennai,287
Tata AIA Life Insurance,Insurance,3.9,4400.0,1410000.0,249.0,640.0,297.0,23.0,Mumbai,441
Deutsche Bank,Banking,3.8,4300.0,3610000.0,418.0,372.0,399.0,79.0,Pune,42
Hetero,Pharma,3.9,4300.0,1510000.0,297.0,146.0,332.0,13.0,Hyderabad / Secunderabad,68
Motilal Oswal Financial Services,Financial Services,3.7,4300.0,1290000.0,540.0,42.0,167.0,90.0,Mumbai,168
Berger Paints,Chemicals,3.7,4300.0,1000000.0,424.0,133.0,273.0,6.0,Kolkata,354
Team Lease,Recruitment,3.9,4300.0,1600000.0,248.0,2.0,215.0,6.0,Bangalore / Bengaluru,399
VE Commercial Vehicles,Automobile,3.9,4200.0,1420000.0,283.0,6.0,340.0,12.0,Indore,179
Lenskart,Internet,3.3,4200.0,1340000.0,441.0,120.0,199.0,22.0,New Delhi,239
Thermax Limited,Industrial Machinery,4.2,4200.0,1310000.0,335.0,87.0,371.0,24.0,Pune,252
Bajaj Auto,Automobile,3.8,4100.0,1460000.0,322.0,0.0,496.0,19.0,Pune,318
Macleods Pharmaceuticals,Pharma,3.7,4100.0,1550000.0,268.0,6.0,334.0,3.0,Mumbai,134
Kogta Financial India Limited,NBFC,4.7,4100.0,180000.0,245.0,112.0,31.0,39.0,Jaipur,259
Jubilant Foods Works,Hospitality,3.7,4100.0,940000.0,249.0,201.0,180.0,18.0,New Delhi,262
Aakash Educational Services,Education & Training,3.2,4100.0,1370000.0,365.0,67.0,212.0,25.0,New Delhi,244
LG Electronics,Consumer Electronics & Appliances,3.9,4100.0,1100000.0,259.0,0.0,399.0,18.0,Pune,298
